1,2,3,4,5,6,7,8,9
184.72692659639068,194.19031158664876,173.20322383768683,179.9506879751497,182.68833546755008,167.98099740991853,165.3397473925227,164.1202886539972,181.98250496340006
237.2499776912005,287.77336558422974,246.06494948601346,182.40557678803208,351.9699212986284,187.35673022100985,84.43418079126569,117.0397622828223,381.8722514749416
-102.63056804123687,-1.573718320015688,-132.17482181436765,-293.6147206207896,-421.87458041657953,-442.59646247126693,-498.98468500617906,-639.2103779017323,-485.11372657187184
-641.0972199471918,-502.1666400530682,-502.79580756029503,-670.3400883571792,-779.9795352968375,-856.1757777439557,-1120.782752561389,-1171.7845273174107,-848.7600221808794
-960.6192877208433,-701.2337872184839,-838.832373588323,-903.446748783868,-1194.5051073151558,-1119.7904239781117,-1358.1285792907909,-1522.2852233187232,-1368.2747005447045
-1017.8066384602947,-771.3309297869544,-791.7504901844258,-870.146626588623,-1048.1017243794224,-1112.9419922812406,-1414.6182362789295,-1517.000518293651,-1220.9461897129786
-1006.2052333443141,-710.2478110622807,-918.3334485061908,-986.6621582220873,-1250.400824046454,-1165.502896110267,-1413.194274721664,-1589.5550451406739,-1430.921916078674
-995.379264643231,-716.3528714652189,-777.8757510813302,-905.0687063296538,-1066.0595609433071,-1119.7161635480318,-1422.0662385462856,-1557.1207716313265,-1246.5511292731221
-1058.2388914803278,-788.2529350716183,-977.5450531910495,-1059.1525198005397,-1303.2402757965287,-1231.9061694015372,-1504.7822980698254,-1666.4619660720048,-1522.6551587511465
-984.3530795960587,-702.7081965084097,-767.3194947120425,-848.6343291711481,-1059.6848785720167,-1110.396896629933,-1394.114535463777,-1522.1161764551628,-1136.9917601075724
-1118.5315001305037,-867.8662370938439,-1080.435285901793,-1219.626600887454,-1454.3996737786663,-1408.7702164648626,-1713.0985974107425,-1824.4583963915563,-1735.1904086448599
-1016.6303534711917,-710.9722910115083,-784.9393560519846,-900.2000483952729,-1080.6300277154935,-1125.3782113631041,-1419.8971159573405,-1534.9871439097622,-1150.0124626064567
-1147.064407429079,-898.4935975537408,-1126.7612442295192,-1203.8485704728837,-1453.2770461926507,-1406.3399812102039,-1743.0252413513047,-1852.70904521454,-1747.8689635709384
-999.0254085237951,-710.8716923970809,-764.8316291151515,-918.1180527002047,-1099.9840996850628,-1130.1424151610563,-1428.9262038612414,-1522.3522556357484,-1156.9608333288238
-1177.1830379511123,-888.067080422611,-1105.534530925949,-1209.6099760667971,-1490.190824653295,-1403.3961565626207,-1705.9938359082992,-1862.833360388369,-1732.2703720978984
-1016.9903648983943,-718.1642357517075,-779.5217059693458,-938.1311077097216,-1109.0325024249803,-1141.4790414357851,-1469.5965766694183,-1561.0542966162834,-1213.8898374827343
-1193.8254369922888,-884.5187075195723,-1083.2855656605727,-1215.0611019549979,-1497.9131262403257,-1411.5290361911677,-1703.2909674441562,-1846.197514820461,-1725.1533406596354
-982.0542005031157,-684.1400334830452,-761.5492035709448,-920.2558779695514,-1102.5564520782689,-1124.9821119909343,-1449.3605533728705,-1516.076836801792,-1180.360847027362
-1178.5058827142445,-907.9330778286526,-1114.0124116296731,-1223.3459559866612,-1498.4399132626504,-1425.457082725304,-1708.5417673550012,-1825.1114327507644,-1721.7460071190303
-1009.7388049332998,-723.99136150668,-785.2961229563545,-926.4778277456046,-1078.4800774120408,-1122.4512674141306,-1453.3017563896449,-1543.0137837239824,-1192.3772945026235
-1187.8845832011248,-912.024859718125,-1115.387021325806,-1215.1436909382858,-1497.8588539680068,-1422.6201696891524,-1695.0058048353724,-1816.8256387582414,-1717.516764196991
-979.1317741122235,-697.3165830707457,-775.2876221699659,-906.576034804819,-1075.3005134089815,-1123.599616561255,-1457.6448674022768,-1531.966415009628,-1183.2985859161697
-1198.8656756749683,-928.1590234846562,-1138.2465165352976,-1253.2251257038433,-1511.6096274836534,-1436.2781440812232,-1717.1251953423816,-1849.484462019803,-1729.1165358892463
-1015.7659990416578,-726.8201740952674,-775.28762216994,-911.7854914438848,-1096.6179977982006,-1122.5131087215907,-1448.474768872892,-1530.1677821945332,-1179.0128839758358
-1195.9704406142505,-957.9896206554366,-1145.832420322887,-1199.1027068684687,-1481.543199811066,-1406.3674215690685,-1749.6537012131782,-1884.5947999318855,-1766.1542464217212
-976.3016394702139,-689.2396846259442,-770.4196477342487,-917.2555750849252,-1094.6406887822059,-1126.2077519827928,-1453.2200180567725,-1542.98343519458,-1184.0061853033915
-1179.986097932589,-952.6316909326539,-1139.7651203662133,-1224.2427508655385,-1526.1908287164752,-1426.1728828125251,-1709.199401909635,-1874.6435063871534,-1740.0579691933501
-1011.5341289289454,-721.6092426232543,-777.0103974857025,-918.9298430607993,-1101.5923616775358,-1125.638705627142,-1460.7154242951124,-1551.222442770151,-1187.2203316306945
